hint Which way is up?
make 10 5 4 41
make 13 41 8 9
make 13 41 20 29
make 23 17 0 5
make 23 25 0 5
make 23 33 0 5
make 23 41 0 5
make 23 41 0 9
make 12 41 3 13
move 0 60 0
make 23 13 0 17
make 23 21 0 17
make 23 21 0 25
make 23 29 0 25
make 23 29 0 33
make 23 5 0 41
make 23 13 4 5
make 23 13 4 13
make 23 25 4 33
make 23 9 4 41
make 23 21 4 45
make 23 29 4 45
make 19 33 7 45
move 0 20 0
make 23 21 8 9
make 23 29 8 9
make 23 21 8 33
make 23 13 8 41
make 23 21 8 41
make 12 41 15 25
move 0 60 0
make 23 13 12 29
make 23 41 12 29
make 23 41 12 33
make 23 13 12 37
make 23 13 16 25
make 23 21 16 25
make 23 29 16 25
make 23 29 16 33
make 23 37 16 33
